run_id,type,timestep,recourse,cost
0,CFR (robust),0,1.0,4.29795883178711
0,CFR (robust),1,0.792,4.29795883178711
0,CFR (robust),2,0.736,4.29795883178711
0,CFR (robust),3,0.688,4.29795883178711
0,CFR (robust),4,0.636,4.29795883178711
0,CFR (robust),5,0.66,4.29795883178711
0,CFR (robust),6,0.732,4.29795883178711
0,CFR (robust),7,0.74,4.29795883178711
0,CFR (robust),8,0.676,4.29795883178711
0,CFR (robust),9,0.684,4.29795883178711
0,CFR (robust),10,0.628,4.29795883178711
0,CFR (robust),11,0.62,4.29795883178711
0,CFR (robust),12,0.712,4.29795883178711
0,CFR (robust),13,0.708,4.29795883178711
0,CFR (robust),14,0.688,4.29795883178711
0,CFR (robust),15,0.7,4.29795883178711
0,CFR (robust),16,0.656,4.29795883178711
0,CFR (robust),17,0.652,4.29795883178711
0,CFR (robust),18,0.684,4.29795883178711
0,CFR (robust),19,0.708,4.29795883178711
0,CFR (robust),20,0.684,4.29795883178711
0,CFR (robust),21,0.668,4.29795883178711
0,CFR (robust),22,0.616,4.29795883178711
0,CFR (robust),23,0.628,4.29795883178711
0,CFR (robust),24,0.648,4.29795883178711
0,CFR (robust),25,0.7,4.29795883178711
0,CFR (robust),26,0.712,4.29795883178711
0,CFR (robust),27,0.656,4.29795883178711
0,CFR (robust),28,0.632,4.29795883178711
0,CFR (robust),29,0.612,4.29795883178711
0,CFR (robust),30,0.604,4.29795883178711
0,CFR (robust),31,0.716,4.29795883178711
0,CFR (robust),32,0.692,4.29795883178711
0,CFR (robust),33,0.68,4.29795883178711
0,CFR (robust),34,0.632,4.29795883178711
0,CFR (robust),35,0.596,4.29795883178711
0,CFR (robust),36,0.588,4.29795883178711
0,CFR (robust),37,0.624,4.29795883178711
0,CFR (robust),38,0.66,4.29795883178711
0,CFR (robust),39,0.652,4.29795883178711
0,CFR (robust),40,0.632,4.29795883178711
0,CFR (robust),41,0.592,4.29795883178711
0,CFR (robust),42,0.568,4.29795883178711
0,CFR (robust),43,0.596,4.29795883178711
0,CFR (robust),44,0.672,4.29795883178711
0,CFR (robust),45,0.68,4.29795883178711
0,CFR (robust),46,0.624,4.29795883178711
0,CFR (robust),47,0.616,4.29795883178711
0,CFR (robust),48,0.56,4.29795883178711
0,CFR (robust),49,0.564,4.29795883178711
0,CFR (robust),50,0.632,4.29795883178711
0,SPR (robust),0,0.996,5.566859786290242
0,SPR (robust),1,0.936,5.566859786290242
0,SPR (robust),2,0.868,5.566859786290242
0,SPR (robust),3,0.84,5.566859786290242
0,SPR (robust),4,0.828,5.566859786290242
0,SPR (robust),5,0.836,5.566859786290242
0,SPR (robust),6,0.872,5.566859786290242
0,SPR (robust),7,0.904,5.566859786290242
