run_id,type,timestep,recourse,cost
0,CFR (robust),0,1.0,3.018712574005127
0,CFR (robust),1,0.972,3.018712574005127
0,CFR (robust),2,0.956,3.018712574005127
0,CFR (robust),3,0.94,3.018712574005127
0,CFR (robust),4,0.904,3.018712574005127
0,CFR (robust),5,0.888,3.018712574005127
0,CFR (robust),6,0.952,3.018712574005127
0,CFR (robust),7,0.92,3.018712574005127
0,CFR (robust),8,0.928,3.018712574005127
0,CFR (robust),9,0.92,3.018712574005127
0,CFR (robust),10,0.908,3.018712574005127
0,CFR (robust),11,0.912,3.018712574005127
0,CFR (robust),12,0.9,3.018712574005127
0,CFR (robust),13,0.936,3.018712574005127
0,CFR (robust),14,0.948,3.018712574005127
0,CFR (robust),15,0.928,3.018712574005127
0,CFR (robust),16,0.92,3.018712574005127
0,CFR (robust),17,0.9,3.018712574005127
0,CFR (robust),18,0.932,3.018712574005127
0,CFR (robust),19,0.936,3.018712574005127
0,CFR (robust),20,0.94,3.018712574005127
0,CFR (robust),21,0.908,3.018712574005127
0,CFR (robust),22,0.908,3.018712574005127
0,CFR (robust),23,0.916,3.018712574005127
0,CFR (robust),24,0.896,3.018712574005127
0,CFR (robust),25,0.964,3.018712574005127
0,CFR (robust),26,0.932,3.018712574005127
0,CFR (robust),27,0.912,3.018712574005127
0,CFR (robust),28,0.864,3.018712574005127
0,CFR (robust),29,0.872,3.018712574005127
0,CFR (robust),30,0.916,3.018712574005127
0,CFR (robust),31,0.904,3.018712574005127
0,CFR (robust),32,0.904,3.018712574005127
0,CFR (robust),33,0.884,3.018712574005127
0,CFR (robust),34,0.88,3.018712574005127
0,CFR (robust),35,0.84,3.018712574005127
0,CFR (robust),36,0.884,3.018712574005127
0,CFR (robust),37,0.916,3.018712574005127
0,CFR (robust),38,0.912,3.018712574005127
0,CFR (robust),39,0.912,3.018712574005127
0,CFR (robust),40,0.9,3.018712574005127
0,CFR (robust),41,0.856,3.018712574005127
0,CFR (robust),42,0.884,3.018712574005127
0,CFR (robust),43,0.908,3.018712574005127
0,CFR (robust),44,0.908,3.018712574005127
0,CFR (robust),45,0.888,3.018712574005127
0,CFR (robust),46,0.916,3.018712574005127
0,CFR (robust),47,0.888,3.018712574005127
0,CFR (robust),48,0.876,3.018712574005127
0,CFR (robust),49,0.896,3.018712574005127
0,CFR (robust),50,0.916,3.018712574005127
0,SPR (robust),0,1.0,3.018755751609802
0,SPR (robust),1,0.972,3.018755751609802
0,SPR (robust),2,0.956,3.018755751609802
0,SPR (robust),3,0.94,3.018755751609802
0,SPR (robust),4,0.904,3.018755751609802
0,SPR (robust),5,0.888,3.018755751609802
0,SPR (robust),6,0.952,3.018755751609802
0,SPR (robust),7,0.92,3.018755751609802
0,SPR (robust),8,0.928,3.018755751609802
0,SPR (robust),9,0.92,3.018755751609802
0,SPR (robust),10,0.908,3.018755751609802
0,SPR (robust),11,0.912,3.018755751609802
0,SPR (robust),12,0.9,3.018755751609802
0,SPR (robust),13,0.936,3.018755751609802
0,SPR (robust),14,0.948,3.018755751609802
0,SPR (robust),15,0.928,3.018755751609802
0,SPR (robust),16,0.92,3.018755751609802
0,SPR (robust),17,0.9,3.018755751609802
0,SPR (robust),18,0.932,3.018755751609802
0,SPR (robust),19,0.936,3.018755751609802
0,SPR (robust),20,0.94,3.018755751609802
0,SPR (robust),21,0.908,3.018755751609802
0,SPR (robust),22,0.908,3.018755751609802
0,SPR (robust),23,0.916,3.018755751609802
0,SPR (robust),24,0.896,3.018755751609802
0,SPR (robust),25,0.964,3.018755751609802
0,SPR (robust),26,0.932,3.018755751609802
0,SPR (robust),27,0.912,3.018755751609802
0,SPR (robust),28,0.864,3.018755751609802
0,SPR (robust),29,0.872,3.018755751609802
0,SPR (robust),30,0.916,3.018755751609802
0,SPR (robust),31,0.904,3.018755751609802
0,SPR (robust),32,0.904,3.018755751609802
0,SPR (robust),33,0.884,3.018755751609802
0,SPR (robust),34,0.88,3.018755751609802
0,SPR (robust),35,0.84,3.018755751609802
0,SPR (robust),36,0.884,3.018755751609802
0,SPR (robust),37,0.916,3.018755751609802
0,SPR (robust),38,0.912,3.018755751609802
0,SPR (robust),39,0.912,3.018755751609802
0,SPR (robust),40,0.9,3.018755751609802
0,SPR (robust),41,0.856,3.018755751609802
0,SPR (robust),42,0.884,3.018755751609802
0,SPR (robust),43,0.908,3.018755751609802
0,SPR (robust),44,0.908,3.018755751609802
0,SPR (robust),45,0.888,3.018755751609802
