run_id,type,timestep,recourse,cost,alpha
0,CFR (robust),0,0.748,7.02127656324662,1.0
0,CFR (robust),1,0.724,7.02127656324662,1.0
0,CFR (robust),2,0.716,7.02127656324662,1.0
0,CFR (robust),3,0.7,7.02127656324662,1.0
0,CFR (robust),4,0.708,7.02127656324662,1.0
0,CFR (robust),5,0.716,7.02127656324662,1.0
0,CFR (robust),6,0.692,7.02127656324662,1.0
0,CFR (robust),7,0.716,7.02127656324662,1.0
0,CFR (robust),8,0.724,7.02127656324662,1.0
0,CFR (robust),9,0.7,7.02127656324662,1.0
0,CFR (robust),10,0.716,7.02127656324662,1.0
0,CFR (robust),11,0.688,7.02127656324662,1.0
0,CFR (robust),12,0.7,7.02127656324662,1.0
0,CFR (robust),13,0.716,7.02127656324662,1.0
0,CFR (robust),14,0.704,7.02127656324662,1.0
0,CFR (robust),15,0.688,7.02127656324662,1.0
0,CFR (robust),16,0.688,7.02127656324662,1.0
0,CFR (robust),17,0.684,7.02127656324662,1.0
0,CFR (robust),18,0.696,7.02127656324662,1.0
0,CFR (robust),19,0.672,7.02127656324662,1.0
0,CFR (robust),20,0.712,7.02127656324662,1.0
0,CFR (robust),21,0.684,7.02127656324662,1.0
0,CFR (robust),22,0.684,7.02127656324662,1.0
0,CFR (robust),23,0.66,7.02127656324662,1.0
0,CFR (robust),24,0.664,7.02127656324662,1.0
0,CFR (robust),25,0.676,7.02127656324662,1.0
0,CFR (robust),26,0.664,7.02127656324662,1.0
0,CFR (robust),27,0.664,7.02127656324662,1.0
0,CFR (robust),28,0.688,7.02127656324662,1.0
0,CFR (robust),29,0.664,7.02127656324662,1.0
0,CFR (robust),30,0.68,7.02127656324662,1.0
0,CFR (robust),31,0.696,7.02127656324662,1.0
0,CFR (robust),32,0.652,7.02127656324662,1.0
0,CFR (robust),33,0.66,7.02127656324662,1.0
0,CFR (robust),34,0.664,7.02127656324662,1.0
0,CFR (robust),35,0.628,7.02127656324662,1.0
0,CFR (robust),36,0.624,7.02127656324662,1.0
0,CFR (robust),37,0.644,7.02127656324662,1.0
0,CFR (robust),38,0.636,7.02127656324662,1.0
0,CFR (robust),39,0.616,7.02127656324662,1.0
0,CFR (robust),40,0.608,7.02127656324662,1.0
0,CFR (robust),41,0.648,7.02127656324662,1.0
0,CFR (robust),42,0.56,7.02127656324662,1.0
0,CFR (robust),43,0.576,7.02127656324662,1.0
0,CFR (robust),44,0.616,7.02127656324662,1.0
0,CFR (robust),45,0.6,7.02127656324662,1.0
0,CFR (robust),46,0.632,7.02127656324662,1.0
0,CFR (robust),47,0.596,7.02127656324662,1.0
0,CFR (robust),48,0.564,7.02127656324662,1.0
0,CFR (robust),49,0.556,7.02127656324662,1.0
0,CFR (robust),50,0.572,7.02127656324662,1.0
0,CFR (robust),51,0.556,7.02127656324662,1.0
0,CFR (robust),52,0.588,7.02127656324662,1.0
0,CFR (robust),53,0.548,7.02127656324662,1.0
0,CFR (robust),54,0.564,7.02127656324662,1.0
0,CFR (robust),55,0.536,7.02127656324662,1.0
0,CFR (robust),56,0.524,7.02127656324662,1.0
0,CFR (robust),57,0.488,7.02127656324662,1.0
0,CFR (robust),58,0.496,7.02127656324662,1.0
0,CFR (robust),59,0.52,7.02127656324662,1.0
0,CFR (robust),60,0.504,7.02127656324662,1.0
0,CFR (robust),61,0.48,7.02127656324662,1.0
0,CFR (robust),62,0.504,7.02127656324662,1.0
0,CFR (robust),63,0.484,7.02127656324662,1.0
0,CFR (robust),64,0.46,7.02127656324662,1.0
