run_id,type,timestep,recourse,cost,alpha
0,robust_time,0,1.0,4.233837307214737,1.0
0,robust_time,5,0.968,7.316909953582385,1.0
0,robust_time,10,0.968,7.573957644218256,1.0
0,robust_time,15,0.968,7.233734128888973,1.0
0,robust_time,20,0.952,6.428062384869872,1.0
0,robust_time,25,0.94,6.253177571803965,1.0
0,robust_time,30,0.972,7.346602186744596,1.0
0,robust_time,35,0.976,7.539911117710051,1.0
0,robust_time,40,0.956,7.122837465677302,1.0
0,robust_time,45,0.94,6.363556796946424,1.0
0,robust_time,50,0.948,6.437881041176712,1.0
0,robust_time,55,0.976,7.36668933415022,1.0
0,robust_time,60,0.96,7.49644935131073,1.0
0,robust_time,65,0.924,7.049395947229295,1.0
0,robust_time,70,0.928,6.393533328483844,1.0
0,robust_time,75,0.956,6.544269039042325,1.0
0,robust_time,80,0.96,7.370992718140284,1.0
0,robust_time,85,0.952,7.488842799883931,1.0
0,robust_time,90,0.944,6.979031479964822,1.0
0,robust_time,95,0.928,6.268903516489884,1.0
0,robust_time,100,0.976,6.620330456827507,1.0
0,CFR (robust),0,0.66,4.805421966494936,1.0
0,CFR (robust),1,0.58,4.805421966494936,1.0
0,CFR (robust),2,0.512,4.805421966494936,1.0
0,CFR (robust),3,0.444,4.805421966494936,1.0
0,CFR (robust),4,0.432,4.805421966494936,1.0
0,CFR (robust),5,0.488,4.805421966494936,1.0
0,CFR (robust),6,0.54,4.805421966494936,1.0
0,CFR (robust),7,0.552,4.805421966494936,1.0
0,CFR (robust),8,0.508,4.805421966494936,1.0
0,CFR (robust),9,0.476,4.805421966494936,1.0
0,CFR (robust),10,0.432,4.805421966494936,1.0
0,CFR (robust),11,0.476,4.805421966494936,1.0
0,CFR (robust),12,0.504,4.805421966494936,1.0
0,CFR (robust),13,0.556,4.805421966494936,1.0
0,CFR (robust),14,0.552,4.805421966494936,1.0
0,CFR (robust),15,0.464,4.805421966494936,1.0
0,CFR (robust),16,0.428,4.805421966494936,1.0
0,CFR (robust),17,0.448,4.805421966494936,1.0
0,CFR (robust),18,0.48,4.805421966494936,1.0
0,CFR (robust),19,0.54,4.805421966494936,1.0
0,CFR (robust),20,0.556,4.805421966494936,1.0
0,CFR (robust),21,0.496,4.805421966494936,1.0
