run_id,type,timestep,recourse,cost
0,robust_time,0,0.964,6.822729946666733
0,robust_time,5,0.92,6.777681971632916
0,robust_time,10,0.944,7.001975643432747
0,robust_time,15,0.944,6.970066003880258
0,robust_time,20,0.936,6.818892785626599
0,robust_time,25,0.956,7.090269775071404
0,robust_time,30,0.94,6.991504375985328
0,robust_time,35,0.956,7.088902283911924
0,robust_time,40,0.944,6.922677800817005
0,robust_time,45,0.94,7.027532806802303
0,robust_time,50,0.948,7.022126422149722
0,CFR (robust),0,0.852,5.53063828172818
0,CFR (robust),1,0.784,5.53063828172818
0,CFR (robust),2,0.76,5.53063828172818
0,CFR (robust),3,0.78,5.53063828172818
0,CFR (robust),4,0.76,5.53063828172818
0,CFR (robust),5,0.76,5.53063828172818
0,CFR (robust),6,0.76,5.53063828172818
0,CFR (robust),7,0.776,5.53063828172818
0,CFR (robust),8,0.752,5.53063828172818
0,CFR (robust),9,0.768,5.53063828172818
0,CFR (robust),10,0.744,5.53063828172818
0,CFR (robust),11,0.756,5.53063828172818
0,CFR (robust),12,0.764,5.53063828172818
0,CFR (robust),13,0.744,5.53063828172818
0,CFR (robust),14,0.752,5.53063828172818
0,CFR (robust),15,0.764,5.53063828172818
0,CFR (robust),16,0.744,5.53063828172818
0,CFR (robust),17,0.756,5.53063828172818
0,CFR (robust),18,0.76,5.53063828172818
0,CFR (robust),19,0.736,5.53063828172818
0,CFR (robust),20,0.748,5.53063828172818
0,CFR (robust),21,0.752,5.53063828172818
0,CFR (robust),22,0.776,5.53063828172818
0,CFR (robust),23,0.764,5.53063828172818
0,CFR (robust),24,0.764,5.53063828172818
0,CFR (robust),25,0.74,5.53063828172818
0,CFR (robust),26,0.728,5.53063828172818
0,CFR (robust),27,0.74,5.53063828172818
0,CFR (robust),28,0.712,5.53063828172818
0,CFR (robust),29,0.724,5.53063828172818
0,CFR (robust),30,0.716,5.53063828172818
0,CFR (robust),31,0.748,5.53063828172818
0,CFR (robust),32,0.748,5.53063828172818
0,CFR (robust),33,0.76,5.53063828172818
0,CFR (robust),34,0.752,5.53063828172818
0,CFR (robust),35,0.756,5.53063828172818
0,CFR (robust),36,0.74,5.53063828172818
0,CFR (robust),37,0.724,5.53063828172818
0,CFR (robust),38,0.768,5.53063828172818
0,CFR (robust),39,0.748,5.53063828172818
0,CFR (robust),40,0.744,5.53063828172818
0,CFR (robust),41,0.768,5.53063828172818
0,CFR (robust),42,0.748,5.53063828172818
0,CFR (robust),43,0.772,5.53063828172818
0,CFR (robust),44,0.74,5.53063828172818
0,CFR (robust),45,0.744,5.53063828172818
0,CFR (robust),46,0.756,5.53063828172818
0,CFR (robust),47,0.772,5.53063828172818
0,CFR (robust),48,0.784,5.53063828172818
0,CFR (robust),49,0.78,5.53063828172818
0,CFR (robust),50,0.76,5.53063828172818
0,SPR (robust),0,1.0,12.7188076171875
0,SPR (robust),1,1.0,12.7188076171875
0,SPR (robust),2,1.0,12.7188076171875
0,SPR (robust),3,0.996,12.7188076171875
0,SPR (robust),4,0.992,12.7188076171875
0,SPR (robust),5,0.988,12.7188076171875
0,SPR (robust),6,0.996,12.7188076171875
0,SPR (robust),7,0.996,12.7188076171875
0,SPR (robust),8,0.996,12.7188076171875
0,SPR (robust),9,0.992,12.7188076171875
0,SPR (robust),10,0.992,12.7188076171875
0,SPR (robust),11,1.0,12.7188076171875
0,SPR (robust),12,0.992,12.7188076171875
0,SPR (robust),13,1.0,12.7188076171875
0,SPR (robust),14,1.0,12.7188076171875
0,SPR (robust),15,0.996,12.7188076171875
0,SPR (robust),16,0.996,12.7188076171875
0,SPR (robust),17,0.996,12.7188076171875
0,SPR (robust),18,1.0,12.7188076171875
0,SPR (robust),19,0.992,12.7188076171875
0,SPR (robust),20,1.0,12.7188076171875
0,SPR (robust),21,0.996,12.7188076171875
0,SPR (robust),22,0.996,12.7188076171875
0,SPR (robust),23,0.996,12.7188076171875
0,SPR (robust),24,1.0,12.7188076171875
0,SPR (robust),25,1.0,12.7188076171875
0,SPR (robust),26,1.0,12.7188076171875
0,SPR (robust),27,1.0,12.7188076171875
0,SPR (robust),28,0.996,12.7188076171875
0,SPR (robust),29,1.0,12.7188076171875
0,SPR (robust),30,0.996,12.7188076171875
0,SPR (robust),31,0.996,12.7188076171875
0,SPR (robust),32,0.992,12.7188076171875
0,SPR (robust),33,1.0,12.7188076171875
0,SPR (robust),34,0.996,12.7188076171875
0,SPR (robust),35,1.0,12.7188076171875
0,SPR (robust),36,1.0,12.7188076171875
0,SPR (robust),37,0.992,12.7188076171875
0,SPR (robust),38,0.988,12.7188076171875
0,SPR (robust),39,0.992,12.7188076171875
0,SPR (robust),40,0.996,12.7188076171875
0,SPR (robust),41,0.996,12.7188076171875
0,SPR (robust),42,0.992,12.7188076171875
0,SPR (robust),43,0.996,12.7188076171875
0,SPR (robust),44,0.992,12.7188076171875
0,SPR (robust),45,0.988,12.7188076171875
0,SPR (robust),46,0.996,12.7188076171875
0,SPR (robust),47,0.996,12.7188076171875
0,SPR (robust),48,0.992,12.7188076171875
0,SPR (robust),49,0.996,12.7188076171875
0,SPR (robust),50,0.996,12.7188076171875
0,IMF (robust),0,1.0,8.246326650619507
0,IMF (robust),1,0.928,8.246326650619507
0,IMF (robust),2,0.912,8.246326650619507
0,IMF (robust),3,0.888,8.246326650619507
0,IMF (robust),4,0.9,8.246326650619507
0,IMF (robust),5,0.896,8.246326650619507
0,IMF (robust),6,0.896,8.246326650619507
0,IMF (robust),7,0.888,8.246326650619507
0,IMF (robust),8,0.88,8.246326650619507
0,IMF (robust),9,0.904,8.246326650619507
0,IMF (robust),10,0.872,8.246326650619507
0,IMF (robust),11,0.844,8.246326650619507
0,IMF (robust),12,0.884,8.246326650619507
0,IMF (robust),13,0.872,8.246326650619507
0,IMF (robust),14,0.876,8.246326650619507
0,IMF (robust),15,0.888,8.246326650619507
0,IMF (robust),16,0.884,8.246326650619507
0,IMF (robust),17,0.868,8.246326650619507
0,IMF (robust),18,0.9,8.246326650619507
0,IMF (robust),19,0.888,8.246326650619507
0,IMF (robust),20,0.868,8.246326650619507
0,IMF (robust),21,0.888,8.246326650619507
0,IMF (robust),22,0.924,8.246326650619507
0,IMF (robust),23,0.868,8.246326650619507
0,IMF (robust),24,0.896,8.246326650619507
0,IMF (robust),25,0.896,8.246326650619507
0,IMF (robust),26,0.868,8.246326650619507
0,IMF (robust),27,0.872,8.246326650619507
0,IMF (robust),28,0.82,8.246326650619507
0,IMF (robust),29,0.844,8.246326650619507
0,IMF (robust),30,0.844,8.246326650619507
0,IMF (robust),31,0.84,8.246326650619507
0,IMF (robust),32,0.876,8.246326650619507
0,IMF (robust),33,0.916,8.246326650619507
0,IMF (robust),34,0.876,8.246326650619507
0,IMF (robust),35,0.868,8.246326650619507
0,IMF (robust),36,0.848,8.246326650619507
0,IMF (robust),37,0.86,8.246326650619507
0,IMF (robust),38,0.872,8.246326650619507
0,IMF (robust),39,0.904,8.246326650619507
