run_id,type,timestep,recourse,cost
0,robust_time,0,0.852,23.10192533725864
0,robust_time,5,1.0,33.21781537628174
0,robust_time,10,1.0,36.33892779541016
0,robust_time,15,1.0,38.41083317565918
0,robust_time,20,1.0,41.220059646606444
0,robust_time,25,1.0,43.80479412841797
0,robust_time,30,1.0,45.88699520874023
0,robust_time,35,1.0,48.3700549621582
0,robust_time,40,1.0,50.81885855102539
0,robust_time,45,1.0,53.233786056518554
0,robust_time,50,1.0,55.44871279907227
0,CFR (robust),0,0.832,7.262353517688238
0,CFR (robust),1,0.724,7.262353517688238
0,CFR (robust),2,0.6,7.262353517688238
0,CFR (robust),3,0.5,7.262353517688238
0,CFR (robust),4,0.468,7.262353517688238
0,CFR (robust),5,0.484,7.262353517688238
0,CFR (robust),6,0.548,7.262353517688238
0,CFR (robust),7,0.564,7.262353517688238
0,CFR (robust),8,0.512,7.262353517688238
0,CFR (robust),9,0.448,7.262353517688238
0,CFR (robust),10,0.424,7.262353517688238
0,CFR (robust),11,0.444,7.262353517688238
0,CFR (robust),12,0.472,7.262353517688238
0,CFR (robust),13,0.524,7.262353517688238
0,CFR (robust),14,0.492,7.262353517688238
0,CFR (robust),15,0.428,7.262353517688238
0,CFR (robust),16,0.384,7.262353517688238
0,CFR (robust),17,0.348,7.262353517688238
0,CFR (robust),18,0.4,7.262353517688238
0,CFR (robust),19,0.464,7.262353517688238
0,CFR (robust),20,0.444,7.262353517688238
0,CFR (robust),21,0.388,7.262353517688238
0,CFR (robust),22,0.276,7.262353517688238
0,CFR (robust),23,0.272,7.262353517688238
0,CFR (robust),24,0.268,7.262353517688238
0,CFR (robust),25,0.308,7.262353517688238
0,CFR (robust),26,0.348,7.262353517688238
0,CFR (robust),27,0.304,7.262353517688238
0,CFR (robust),28,0.26,7.262353517688238
0,CFR (robust),29,0.256,7.262353517688238
0,CFR (robust),30,0.224,7.262353517688238
0,CFR (robust),31,0.24,7.262353517688238
0,CFR (robust),32,0.26,7.262353517688238
0,CFR (robust),33,0.256,7.262353517688238
0,CFR (robust),34,0.22,7.262353517688238
0,CFR (robust),35,0.18,7.262353517688238
0,CFR (robust),36,0.148,7.262353517688238
0,CFR (robust),37,0.14,7.262353517688238
0,CFR (robust),38,0.204,7.262353517688238
0,CFR (robust),39,0.208,7.262353517688238
0,CFR (robust),40,0.164,7.262353517688238
0,CFR (robust),41,0.112,7.262353517688238
0,CFR (robust),42,0.108,7.262353517688238
0,CFR (robust),43,0.104,7.262353517688238
0,CFR (robust),44,0.152,7.262353517688238
0,CFR (robust),45,0.148,7.262353517688238
0,CFR (robust),46,0.112,7.262353517688238
0,CFR (robust),47,0.104,7.262353517688238
0,CFR (robust),48,0.06,7.262353517688238
0,CFR (robust),49,0.064,7.262353517688238
0,CFR (robust),50,0.072,7.262353517688238
0,SPR (robust),0,0.956,8.63660745241652
0,SPR (robust),1,0.916,8.63660745241652
0,SPR (robust),2,0.832,8.63660745241652
0,SPR (robust),3,0.732,8.63660745241652
0,SPR (robust),4,0.676,8.63660745241652
0,SPR (robust),5,0.676,8.63660745241652
0,SPR (robust),6,0.744,8.63660745241652
0,SPR (robust),7,0.776,8.63660745241652
0,SPR (robust),8,0.744,8.63660745241652
0,SPR (robust),9,0.616,8.63660745241652
0,SPR (robust),10,0.616,8.63660745241652
0,SPR (robust),11,0.624,8.63660745241652
0,SPR (robust),12,0.632,8.63660745241652
0,SPR (robust),13,0.72,8.63660745241652
0,SPR (robust),14,0.704,8.63660745241652
0,SPR (robust),15,0.648,8.63660745241652
0,SPR (robust),16,0.588,8.63660745241652
0,SPR (robust),17,0.544,8.63660745241652
0,SPR (robust),18,0.576,8.63660745241652
0,SPR (robust),19,0.644,8.63660745241652
0,SPR (robust),20,0.628,8.63660745241652
0,SPR (robust),21,0.5,8.63660745241652
0,SPR (robust),22,0.452,8.63660745241652
0,SPR (robust),23,0.428,8.63660745241652
0,SPR (robust),24,0.444,8.63660745241652
0,SPR (robust),25,0.488,8.63660745241652
0,SPR (robust),26,0.524,8.63660745241652
0,SPR (robust),27,0.456,8.63660745241652
0,SPR (robust),28,0.4,8.63660745241652
0,SPR (robust),29,0.336,8.63660745241652
0,SPR (robust),30,0.368,8.63660745241652
0,SPR (robust),31,0.392,8.63660745241652
0,SPR (robust),32,0.452,8.63660745241652
0,SPR (robust),33,0.448,8.63660745241652
0,SPR (robust),34,0.34,8.63660745241652
0,SPR (robust),35,0.3,8.63660745241652
0,SPR (robust),36,0.296,8.63660745241652
0,SPR (robust),37,0.328,8.63660745241652
0,SPR (robust),38,0.38,8.63660745241652
0,SPR (robust),39,0.32,8.63660745241652
0,SPR (robust),40,0.284,8.63660745241652
0,SPR (robust),41,0.228,8.63660745241652
0,SPR (robust),42,0.208,8.63660745241652
0,SPR (robust),43,0.212,8.63660745241652
0,SPR (robust),44,0.272,8.63660745241652
0,SPR (robust),45,0.28,8.63660745241652
0,SPR (robust),46,0.232,8.63660745241652
0,SPR (robust),47,0.2,8.63660745241652
0,SPR (robust),48,0.156,8.63660745241652
0,SPR (robust),49,0.164,8.63660745241652
0,SPR (robust),50,0.164,8.63660745241652
0,IMF (robust),0,0.964,10.74592749211798
0,IMF (robust),1,0.84,10.74592749211798
0,IMF (robust),2,0.704,10.74592749211798
0,IMF (robust),3,0.604,10.74592749211798
0,IMF (robust),4,0.56,10.74592749211798
0,IMF (robust),5,0.576,10.74592749211798
0,IMF (robust),6,0.652,10.74592749211798
0,IMF (robust),7,0.644,10.74592749211798
0,IMF (robust),8,0.624,10.74592749211798
0,IMF (robust),9,0.536,10.74592749211798
0,IMF (robust),10,0.524,10.74592749211798
0,IMF (robust),11,0.516,10.74592749211798
0,IMF (robust),12,0.544,10.74592749211798
0,IMF (robust),13,0.592,10.74592749211798
0,IMF (robust),14,0.532,10.74592749211798
0,IMF (robust),15,0.484,10.74592749211798
0,IMF (robust),16,0.464,10.74592749211798
0,IMF (robust),17,0.432,10.74592749211798
0,IMF (robust),18,0.496,10.74592749211798
0,IMF (robust),19,0.544,10.74592749211798
0,IMF (robust),20,0.552,10.74592749211798
0,IMF (robust),21,0.444,10.74592749211798
0,IMF (robust),22,0.384,10.74592749211798
0,IMF (robust),23,0.364,10.74592749211798
0,IMF (robust),24,0.372,10.74592749211798
0,IMF (robust),25,0.384,10.74592749211798
0,IMF (robust),26,0.4,10.74592749211798
0,IMF (robust),27,0.372,10.74592749211798
0,IMF (robust),28,0.324,10.74592749211798
0,IMF (robust),29,0.32,10.74592749211798
0,IMF (robust),30,0.292,10.74592749211798
0,IMF (robust),31,0.332,10.74592749211798
0,IMF (robust),32,0.356,10.74592749211798
0,IMF (robust),33,0.356,10.74592749211798
0,IMF (robust),34,0.296,10.74592749211798
0,IMF (robust),35,0.252,10.74592749211798
