run_id,type,timestep,recourse,cost
0,robust_time,0,0.812,23.173857287233098
0,robust_time,5,0.984,32.438822637728556
0,robust_time,10,0.96,33.689957133928935
0,robust_time,15,0.972,32.935763394391095
0,robust_time,20,0.996,33.92455465630834
0,robust_time,25,0.98,35.66760550518425
0,robust_time,30,0.964,37.121175718505356
0,robust_time,35,0.96,38.311222823460895
0,robust_time,40,0.96,38.58027524153392
0,robust_time,45,0.94,39.25759914479357
0,robust_time,50,0.924,40.44094169088256
0,CFR (robust),0,0.768,7.368187977621953
0,CFR (robust),1,0.608,7.368187977621953
0,CFR (robust),2,0.476,7.368187977621953
0,CFR (robust),3,0.392,7.368187977621953
0,CFR (robust),4,0.38,7.368187977621953
0,CFR (robust),5,0.4,7.368187977621953
0,CFR (robust),6,0.444,7.368187977621953
0,CFR (robust),7,0.436,7.368187977621953
0,CFR (robust),8,0.38,7.368187977621953
0,CFR (robust),9,0.364,7.368187977621953
0,CFR (robust),10,0.332,7.368187977621953
0,CFR (robust),11,0.352,7.368187977621953
0,CFR (robust),12,0.372,7.368187977621953
0,CFR (robust),13,0.452,7.368187977621953
0,CFR (robust),14,0.392,7.368187977621953
0,CFR (robust),15,0.336,7.368187977621953
0,CFR (robust),16,0.308,7.368187977621953
0,CFR (robust),17,0.304,7.368187977621953
0,CFR (robust),18,0.36,7.368187977621953
0,CFR (robust),19,0.404,7.368187977621953
0,CFR (robust),20,0.356,7.368187977621953
0,CFR (robust),21,0.3,7.368187977621953
0,CFR (robust),22,0.224,7.368187977621953
0,CFR (robust),23,0.244,7.368187977621953
0,CFR (robust),24,0.236,7.368187977621953
0,CFR (robust),25,0.276,7.368187977621953
0,CFR (robust),26,0.292,7.368187977621953
0,CFR (robust),27,0.216,7.368187977621953
0,CFR (robust),28,0.184,7.368187977621953
0,CFR (robust),29,0.204,7.368187977621953
0,CFR (robust),30,0.164,7.368187977621953
0,CFR (robust),31,0.196,7.368187977621953
0,CFR (robust),32,0.224,7.368187977621953
0,CFR (robust),33,0.212,7.368187977621953
0,CFR (robust),34,0.2,7.368187977621953
0,CFR (robust),35,0.184,7.368187977621953
0,CFR (robust),36,0.136,7.368187977621953
0,CFR (robust),37,0.16,7.368187977621953
0,CFR (robust),38,0.208,7.368187977621953
0,CFR (robust),39,0.188,7.368187977621953
0,CFR (robust),40,0.16,7.368187977621953
0,CFR (robust),41,0.14,7.368187977621953
0,CFR (robust),42,0.14,7.368187977621953
0,CFR (robust),43,0.144,7.368187977621953
0,CFR (robust),44,0.124,7.368187977621953
0,CFR (robust),45,0.152,7.368187977621953
0,CFR (robust),46,0.128,7.368187977621953
0,CFR (robust),47,0.108,7.368187977621953
0,CFR (robust),48,0.088,7.368187977621953
0,CFR (robust),49,0.072,7.368187977621953
0,CFR (robust),50,0.096,7.368187977621953
0,SPR (robust),0,0.908,10.392915959925379
0,SPR (robust),1,0.876,10.392915959925379
0,SPR (robust),2,0.836,10.392915959925379
0,SPR (robust),3,0.78,10.392915959925379
0,SPR (robust),4,0.756,10.392915959925379
0,SPR (robust),5,0.764,10.392915959925379
0,SPR (robust),6,0.788,10.392915959925379
0,SPR (robust),7,0.764,10.392915959925379
